subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column,PairID_column,List_column
7,3,9/9/91,24,f,1,Baby chased the dog,Neutral sentence,edin_emo,emo_sem_emo_sem,0.414634146,1.1209082325222,2,1,1,1,264128.178605425,6,B
7,3,9/9/91,24,f,2,The officer crushed the car,Neutral sentence,edin_emo,emo_sem_emo_sem,-3.222222222,1.05604804155882,1,2,2,1,264129.978123894,7,B
7,3,9/9/91,24,f,3,The ball hit Sam,Negative sentence,edin_emo,emo_sem_emo_sem,-2.644444444,1.91477943328209,1,2,2,1,264132.636120704,13,B
7,3,9/9/91,24,f,4,Harry caught the octopus,Neutral sentence,edin_emo,emo_sem_emo_sem,0.181818182,0.997540706011932,1,2,2,1,264134.376801494,5,B
7,3,9/9/91,24,f,5,The toddler slapped dad,Neutral sentence,edin_emo,emo_sem_emo_sem,-2.585365854,1.26775900204666,2,1,1,1,264136.387961326,4,B
7,3,9/9/91,24,f,6,The dog scared the child,Negative sentence,edin_emo,emo_sem_emo_sem,-2.80952381,1.77389088022755,1,2,2,1,264138.90485919,21,B
7,3,9/9/91,24,f,7,The hunter outwitted the bunny,Negative sentence,edin_emo,emo_sem_emo_sem,-1.386363636,2.95013098273193,2,1,1,1,264142.597867586,18,B
7,3,9/9/91,24,f,8,Claire dragged the car,Neutral sentence,edin_emo,emo_sem_emo_sem,-1.414634146,1.59714307525428,1,1,1,1,264144.938328745,10,B
7,3,9/9/91,24,f,9,The baby hit the brick,Neutral sentence,edin_emo,emo_sem_emo_sem,-2.348837209,1.65642527438467,2,1,1,1,264147.337642016,8,B
7,3,9/9/91,24,f,10,The fish ate the people,Negative sentence,edin_emo,emo_sem_emo_sem,-3.933333333,1.31527295982232,1,1,1,1,264149.395790143,20,B
