subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,MeanAffectivity_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
71,3,8/11/91,24,f,1,carpark,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.181818182,2.03736993216444,1,1,1,1,766607.471853965
71,3,8/11/91,24,f,2,front door,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.88372093,3.10158987133764,2,1,1,1,766611.317672486
71,3,8/11/91,24,f,3,kidnap,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.302325581,2.51444809930399,1,1,1,1,766614.575672196
71,3,8/11/91,24,f,4,runny nose,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.325581395,3.19571916246787,2,2,2,1,766618.515484986
71,3,8/11/91,24,f,5,computer bug,Negative phrase,sklar_emo,emo_sem_emo_sem,-2.731707317,2.2560818066122,2,2,2,1,766621.514577029
71,3,8/11/91,24,f,6,cogwheel,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.214285714,3.87924520554952,1,2,2,1,766626.136653829
71,3,8/11/91,24,f,7,high ceiling,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.813953488,3.12670189875644,2,2,2,1,766630.006063846
71,3,8/11/91,24,f,8,human trafficking,Negative phrase,sklar_emo,emo_sem_emo_sem,-4.658536585,3.47899318404961,2,2,2,1,766634.228342123
71,3,8/11/91,24,f,9,cow pat,Negative phrase,sklar_emo,emo_sem_emo_sem,-1.090909091,1.91438838117756,2,1,1,1,766636.88629751
71,3,8/11/91,24,f,10,desk lamp,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.772727273,2.44449625851121,2,1,1,1,766640.073586877
71,3,8/11/91,24,f,11,ironed shirt,Neutral phrase,sklar_emo,emo_sem_emo_sem,2.11627907,2.00867739075329,2,1,1,1,766642.825672517
71,3,8/11/91,24,f,12,backpack,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.744186047,1.76246829680167,1,1,1,1,766645.330791523
71,3,8/11/91,24,f,13,dining table,Neutral phrase,sklar_emo,emo_sem_emo_sem,1.302325581,2.31527863489464,1,2,2,1,766648.388688154
71,3,8/11/91,24,f,14,paper clip,Neutral phrase,sklar_emo,emo_sem_emo_sem,0.431818182,2.37352741579525,1,2,2,1,766651.505393863
