subject_column,AssignedList_column,subject_dob_column,subject_age_column,subject_gender_column,trialnum_column,Stim_column,Type_column,Experiment_column,OrderGroup_column,ReactionTime_column,StimSide_column,StimPosition_column,Response_column,Valid_column,TrialEndSecs_column
9,1,27/3/95,21,m,1,I built the rice,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.3905809809221,2,2,2,1,273030.797302602
9,1,27/3/95,21,m,2,I planted the hammer,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.24390949489316,2,2,2,1,273033.784610041
9,1,27/3/95,21,m,3,I smelled the hair,Sklar_filler,sklar_semantics,emo_sem_emo_sem,2.19721722608665,1,2,2,1,273036.724906734
9,1,27/3/95,21,m,4,I sewed the smoke,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.43300957547035,1,1,1,1,273038.900733106
9,1,27/3/95,21,m,5,I broke the hat,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.4090365904849,2,2,2,1,273042.052729855
9,1,27/3/95,21,m,6,I locked the ground,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.86823790363269,2,1,1,1,273044.663692507
9,1,27/3/95,21,m,7,I smelled the melody,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.62093356950209,1,1,1,1,273047.027714845
9,1,27/3/95,21,m,8,I fixed up the shed,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.76217652013293,2,1,1,1,273049.532828753
9,1,27/3/95,21,m,9,I met the woman,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.63294042786583,1,2,2,1,273051.908579562
9,1,27/3/95,21,m,10,I warmed up the food,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.59779093309771,1,1,1,1,273054.249066379
9,1,27/3/95,21,m,11,I bought the clothes,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.51531766838161,1,1,1,1,273056.507246386
9,1,27/3/95,21,m,12,I wiped the steam ,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.85585804603761,1,1,1,1,273060.106131622
9,1,27/3/95,21,m,13,I cooked the stairs,Sklar_violation,sklar_semantics,emo_sem_emo_sem,4.81982977373991,2,2,2,1,273065.669158888
9,1,27/3/95,21,m,14,I wore the gloves,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.82114441198064,1,1,1,1,273068.233070705
9,1,27/3/95,21,m,15,I wiped the juice,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.89144532592036,2,1,1,1,273071.867284719
9,1,27/3/95,21,m,16,I wore the shirt,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.80931362992851,1,2,2,1,273075.419197375
9,1,27/3/95,21,m,17,I cut the string,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,2.02072696067626,1,1,1,1,273078.183049024
9,1,27/3/95,21,m,18,I broke the border,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,2.13781347335316,2,2,2,1,273081.064519905
9,1,27/3/95,21,m,19,I solved the exercise,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,1.92616761947284,2,1,1,1,273083.734322161
9,1,27/3/95,21,m,20,I swallowed the food,Sklar_control_B,sklar_semantics,emo_sem_emo_sem,2.10365244286368,2,1,1,1,273086.580552783
9,1,27/3/95,21,m,21,I opened the refrigerator,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.10320503608091,1,1,1,1,273089.426708356
9,1,27/3/95,21,m,22,I shaved the glue,Sklar_violation,sklar_semantics,emo_sem_emo_sem,2.31489194242749,1,2,2,1,273092.484616584
9,1,27/3/95,21,m,23,I cleaned the floor,Sklar_filler,sklar_semantics,emo_sem_emo_sem,3.00849816290429,2,2,2,1,273096.236399796
9,1,27/3/95,21,m,24,I watered the plant,Sklar_filler,sklar_semantics,emo_sem_emo_sem,2.6088487758534,1,1,1,1,273099.588367809
9,1,27/3/95,21,m,25,I fixed up the shower,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,2.63278551929398,2,2,2,1,273102.963817781
9,1,27/3/95,21,m,26,I saw the light,Sklar_filler,sklar_semantics,emo_sem_emo_sem,2.26807362999534,1,2,2,1,273105.97467806
9,1,27/3/95,21,m,27,I washed the head,Sklar_filler,sklar_semantics,emo_sem_emo_sem,1.86810608708765,2,2,2,1,273108.585655786
9,1,27/3/95,21,m,28,I tied the chasm,Sklar_violation,sklar_semantics,emo_sem_emo_sem,1.52708398550749,1,2,2,1,273110.855574849
9,1,27/3/95,21,m,29,I cooked the rice,Sklar_control_A,sklar_semantics,emo_sem_emo_sem,1.46842302422738,1,2,2,1,273113.06668157
